maker_key,model_key,mileage,engine_power,registration_date,price,sold_at,car_age,avg_mileage_per_year
BMW,118,True,True,False,11300,2018-01-01,False,
BMW,M4,True,True,False,69700,2018-02-01,False,
BMW,320,True,True,False,10200,2018-02-01,False,
BMW,420,True,True,False,25100,2018-02-01,False,
BMW,425,True,True,False,33400,2018-04-01,False,
BMW,335,True,True,False,17100,2018-02-01,False,
BMW,325,True,True,False,12400,2018-02-01,False,
BMW,118,True,True,False,6100,2018-02-01,False,
BMW,Z4,True,True,False,6200,2018-03-01,False,
BMW,320,True,True,False,17300,2018-03-01,False,
BMW,320,True,True,False,19300,2018-03-01,False,
BMW,325,True,True,False,13300,2018-03-01,False,
BMW,420,True,True,False,21700,2018-03-01,False,
BMW,420,True,True,False,36300,2018-03-01,False,
BMW,120,True,True,False,10500,2018-04-01,False,
BMW,120,True,True,False,8300,2018-04-01,False,
BMW,220,True,True,False,21900,2018-04-01,False,
BMW,650,True,True,False,9200,2018-09-01,False,
BMW,325,True,True,False,11000,2018-04-01,False,
BMW,Z4,True,True,False,7700,2018-05-01,False,
BMW,135,True,True,False,16800,2018-05-01,False,
BMW,218,True,True,False,31000,2018-05-01,False,
BMW,420,True,True,False,26300,2018-05-01,False,
BMW,220,True,True,False,23300,2018-05-01,False,
BMW,Z4,True,True,False,20800,2018-05-01,False,
BMW,318,True,True,False,1800,2018-05-01,False,
BMW,430,True,True,False,30100,2018-05-01,False,
BMW,420,True,True,False,28700,2018-05-01,False,
BMW,Z4,True,True,False,6500,2018-05-01,False,
BMW,320,True,True,False,11100,2018-05-01,False,
BMW,118,True,True,False,9900,2018-05-01,False,
BMW,Z4,True,True,False,9500,2018-05-01,False,
BMW,218,True,True,False,31000,2018-06-01,False,
BMW,420,True,True,False,27500,2018-06-01,False,
BMW,120,True,True,False,5500,2018-06-01,False,
BMW,Z4,True,True,False,6300,2018-06-01,False,
BMW,318,True,True,False,2400,2018-06-01,False,
BMW,650,True,True,False,6800,2018-07-01,False,
BMW,218,True,True,False,24200,2018-07-01,False,
BMW,320,True,True,False,11800,2018-07-01,False,
BMW,420,True,True,False,34300,2018-07-01,False,
BMW,M3,True,True,False,12100,2018-08-01,False,
BMW,330,True,True,False,15800,2018-08-01,False,
BMW,120,True,True,False,8000,2018-08-01,False,
BMW,120,True,True,False,9000,2018-08-01,False,
BMW,218,True,True,False,24300,2018-08-01,False,
BMW,318,True,True,False,2600,2018-08-01,False,
BMW,420,True,True,False,21400,2018-04-01,False,
BMW,420,True,True,False,26200,2018-05-01,False,
BMW,118,True,True,False,8400,2018-07-01,False,
BMW,218,True,True,False,17100,2018-06-01,False,
BMW,320,True,True,False,7500,2018-07-01,False,
BMW,420,True,True,False,23800,2018-07-01,False,
BMW,420,True,True,False,26500,2018-05-01,False,
BMW,420,True,True,False,27700,2018-09-01,False,
BMW,225,True,True,False,18300,2018-01-01,False,
BMW,320,True,True,False,2300,2018-08-01,False,
BMW,M235,True,True,False,30200,2018-01-01,False,
BMW,316,True,True,False,1000,2018-01-01,False,
BMW,420,True,True,False,19000,2018-01-01,False,
BMW,435,True,True,False,30500,2018-03-01,False,
BMW,425,True,True,False,28600,2018-02-01,False,
BMW,435,True,True,False,38900,2018-02-01,False,
BMW,640,True,True,False,36300,2018-02-01,False,
BMW,420,True,True,False,27700,2018-02-01,False,
BMW,640,True,True,False,32100,2018-02-01,False,
BMW,320,True,True,False,11900,2018-06-01,False,
BMW,M3,True,True,False,47000,2018-04-01,False,
BMW,640 Gran Coupé,True,True,False,55200,2018-02-01,False,
BMW,420,True,True,False,16100,2018-02-01,False,
BMW,220,True,True,False,26200,2018-02-01,False,
BMW,420,True,True,False,19500,2018-03-01,False,
BMW,M4,True,True,False,53600,2018-03-01,False,
BMW,M3,True,True,False,28000,2018-03-01,False,
BMW,420,True,True,False,22400,2018-03-01,False,
BMW,640,True,True,False,32000,2018-03-01,False,
BMW,218,True,True,False,26400,2018-04-01,False,
BMW,320,True,True,False,8600,2018-03-01,False,
BMW,435 Gran Coupé,True,True,False,31500,2018-03-01,False,
BMW,640,True,True,False,39900,2018-03-01,False,
BMW,120,True,True,False,8900,2018-03-01,False,
BMW,420,True,True,False,23800,2018-03-01,False,
BMW,420,True,True,False,18400,2018-03-01,False,
BMW,420,True,True,False,16900,2018-03-01,False,
BMW,M235,True,True,False,30000,2018-05-01,False,
BMW,320,True,True,False,8200,2018-04-01,False,
BMW,640,True,True,False,36900,2018-04-01,False,
BMW,120,True,True,False,7500,2018-04-01,False,
BMW,420,True,True,False,23400,2018-04-01,False,
